Genus,3G.01,3G.13,3N.10,3T.08,3T.20,3T.32,3G.02,3G.14,3N.11,3T.09,3T.21,3T.33,3T.44,3G.03,3G.15,3N.12,3T.10,3T.22,3T.34,3G.04,3N.01,3N.13,3T.11,3T.23,3T.35,3G.05,3N.02,3N.14,3T.12,3T.24,3T.36,3G.06,3N.03,3T.01,3T.13,3T.25,3T.37,3G.07,3N.04,3T.02,3T.14,3T.26,3T.38,3G.08,3N.05,3T.03,3T.15,3T.27,3T.39,3G.09,3N.06,3T.04,3T.16,3T.28,3T.40,3G.10,3N.07,3T.05,3T.17,3T.29,3T.41,3G.11,3N.08,3T.06,3T.18,3T.30,3T.42,3G.12,3N.09,3T.07,3T.19,3T.31,3T.43,2G.01,2G.13,2N.10,2T.08,2T.20,2T.32,1G.01,1G.13,1N.10,1T.08,1T.20,1T.32,2G.02,2G.14,2N.11,2T.09,2T.21,2T.33,2T.44,1G.02,1G.14,1N.11,1T.09,1T.21,1T.33,1T.44,2G.03,2G.15,2N.12,2T.10,2T.22,2T.34,1G.03,1G.15,1N.12,1T.10,1T.22,1T.34,2G.04,2N.01,2N.13,2T.11,2T.23,2T.35,1G.04,1N.01,1N.13,1T.11,1T.23,1T.35,2G.05,2N.02,2N.14,2T.12,2T.24,2T.36,1G.05,1N.02,1N.14,1T.12,1T.24,1T.36,2N.03,2T.01,2T.13,2T.25,2T.37,1G.06,1N.03,1T.01,1T.13,1T.25,1T.37,2G.07,2N.04,2T.02,2T.14,2T.26,2T.38,1G.07,1N.04,1T.02,1T.14,1T.26,1T.38,2G.08,2N.05,2T.03,2T.15,2T.27,2T.39,1G.08,1N.05,1T.03,1T.15,1T.27,1T.39,2G.09,2N.06,2T.04,2T.16,2T.28,1G.09,1N.06,1T.04,1T.16,1T.28,1T.40,2G.10,2N.07,2T.05,2T.17,2T.41,1G.10,1N.07,1T.05,1T.17,1T.29,1T.41,2G.11,2N.08,2T.06,2T.18,2T.30,2T.42,1G.11,1N.08,1T.06,1T.18,1T.30,1T.42,2G.12,2N.09,2T.07,2T.19,2T.31,1G.12,1N.09,1T.07,1T.19,1T.31,1T.43
g__Gammarus,0,0,0,0,0,0,0,0,0,0,0,0,0,24.021,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26.395,0,0,0,0,0,0,0,0,0,0,0,0,7.573,0,0,0,0,0,43.489,21.066,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,361.249,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,38.848,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
g__Glossosoma,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17.318,0,0,0,0,0,0,0,0,0,0,0,3.305,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
g__Gobio,293.156,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,143.727,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,46.168,0,0,0,0,0,351.833,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18.256,0,0,0,0,0,130.985,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13.709,0,0,0,0,0,8.136,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
g__Gyrodactylus,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,479.932,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
g__Habroleptoides,0,0,0,0,0,69.606,0,0,0,0,0,8.794,0,0,0,18.113,0,0,0,0,5.04,0,0,0,0,0,0,8.315,0,0,0,0,19.724,0,0,23.846,176.919,0,0,0,0,0,25.707,0,0,0,0,37.056,0,0,0,0,0,0.234,0,0,0,0,0,0,15.738,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,97.415,0,6.395,18.143,0,0,0,0,0,0,19.125,0,0,0,29.185,0,0,0,0,0,0,0,56.066,14.944,10.54,87.162,26.318,0,0,0,0,0,0,0,0,25.787,0,0,0,0,0,0,0,0,0,0,0,58.863,0,51.689,0,0,0,0,0,73.486,0,59.052,0,0,186.557,44.756,3.928,0,3.032,0,0,0,0,0,0,0,0,0,0,0,0,29.154,0,0,0,0,0,1.104,75.662,0,0,0,0,0,0,0,15.29,0,0,0,0,0,0,0,0,7.908,0,0,0,0,165.459,0,0,0,0,0,0,0,0,0,0,0,30.432,0,0,0,0,0,0,2.009,0,0,0,0,3074.842
g__Habrophlebia,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11.113,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20.136,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.198,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,244.749,204.353,87.182,0,0,0,0,221.185,0,0,0,0,0,0,827.489,52.066,21.944,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,278.793,0,0,0,0,0,0,8.249,0,0,0,0,52.4,0,0,0,0,0,0,0,25.032,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18.057,0,0,0,0,0,0,0,0,0,0,2.814,0,0,0,0,0,0,0,0,0,0,1157.88,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.009,0,0,0,0,0
g__Hydra,33.156,14.79,0,0,0,0,37.863,1113.967,0,0,0,4.794,0,7.021,0,0,1.514,0,0,25.81,0,0,24.128,53.688,0,50.363,0,0,0,0,0,0,0,0,0,0,0,0,15.384,0,0,0,0,1.384,38.794,0,0,0,0,20.079,0,0,0,0,0,0,0,0,0,0,77.738,0,0,0,0,0,0,0,112.196,0,0,0,0,0,0,28.691,2.669,0,0,30.985,0,0,1019.2,0,0,0,95.395,0,3.851,0,0,0,12.353,38.182,0,0,0,0,0,0,0,0,0,0,0,474.489,0,0,0,0,0,0,40.697,0,0,25.813,0,0,0,0,0,0,0,47.941,0,0,0,0,0,27.298,10.163,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,64.928,99.53,0,0.011,21.153,570.213,103.507,0,0,0,0,0,128.545,43.592,0,0,0,2.984,0,0,0,0,0,0,0,0,0,0,10.874,6.814,71.29,47.411,0,0,0,0,3130.895,0,0,893.908,0,72.962,0,0,0,0,0,0,0,0,0,0,9.495,0,0,0,0,0,0,85.015,0,0,0,0,0,0,0,0,0
g__Hydropsyche,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14.035,47.415,0,0,3.143,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.671,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,35.689,0,0,0,0,98.198,0,0,0,0,18.867,8.557,0,0,2.53,0,0,0,0,0,9.25,0,8.303,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.326,0,0,0,0,0,0,1.908,0,0,0,0,0,0,0,0,0,0,1.408,0,0,0,0,0,0,0,0,0,0,0,0,24.009,0,0,0,0,0
g__Hydroptila,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.697,0,0,0,0,0,0,0,0,0,0,0,0,0.162,0,0,0,0,0,0,0,0,0,0,0,0,124.198,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
g__Isohypsibius,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2005.827,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,116.29,0,0,0,0,0,0,0,0,0,0,135.962,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
g__Isoperla,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.461,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.384,0,0,0,0,0,0,0,0,0,0,0,0,0,34.088,103.234,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.572,0,0,0,0,0,63.617,0,0,0,0,0,0,0,1.136,0,0,0,0,0,12.318,0,0,0,0,281.813,0,0,0,0,126.944,0,25.305,0,0,0,0,0,0,0,0,27.863,0,42.689,393.749,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24.213,0,0,0,0,699.023,0,0,0,0,0,0,114.984,0,0,0,96.104,0,57.122,0,0,0,0,0,0,0,0,0,105.592,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.408,0,0,0,0,0,38.432,0,0,0,0,0,0,0,0,0,231.819,12.076,0
g__Keratella,0,0,0,1112.102,0,0,0,28.967,0,100.995,0,234.794,0,0,0,0,158.514,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9839.827,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,146.11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4426.669,0,0,0,0,18.034,182.2,0,0,0,1.395,0,0,0,0,0,0,53.182,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18.07,0,0,0,0,0,0,0,0,0,0,158,0,0,0,0
g__Leuctra,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.097,0,0,0,0,0,0,0,0,0,0,0,0,3.079,0,0,0,0,0,3.919,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17.511,0,0,0,1.034,0,0,0,0,0,0,0,0,0,0,0,0,1.125,191.514,0,0,0,0,0,0,0,354.77,563.136,0,0,0,0,0,0,0.684,0,0,0,0,0,2.238,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.198,0,0,0,0,0,0,0,0,30.53,0,0,0,0,0,4.25,0,56.303,0,0,0,0,0,0,0,667.984,0,0,0,0,0,12.122,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.908,0,0,0,0,0,3.311,0,0,0,0,0,0,0,0,0,0,0,0,0,44.015,0,0,0,19.009,0,0,0,0,0
g__Limnephilus,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,114.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
g__Limnius,0,5.79,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10.461,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40.514,0,0,0,0,0,0,0,0,0,63.489,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
g__Limnodrilus,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16.088,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27.183,0,0,69.043,0,0,0,0,0,25.669,0,0,0,0,0,55.2,0,0,0,0,0,14.851,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10.249,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18.023,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
g__Limnophyes,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,41.185,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
g__Lumbricillus,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,64.545,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24.149,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
g__Melampophylax,0,0,0,0,0,0,0,0,0,0,0,0,109.145,0,0,1.113,0,0,0,0,0,56.461,0,0,0,0,0,7.315,0,0,0,0,8.724,0,0,0,121.919,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16.234,0,0,0,0,0,0,0,0,0,0,0,0,0,0.183,0,0,0,0,0,0,0,0,0,0,0,0,3.049,0,0,0,9.415,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.793,0,0,0,0,0,19.749,0,0,0,0,0,0,0,0,0,8.557,5.756,112.928,0,0,0,0,0,65.507,54.25,0,0,0,0,0,0,0,60.154,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,52.326,29.592,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.009,0,0,0,0,0
g__Micropsectra,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13.81,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28.384,0,0,0,0,0,0.079,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.136,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13.198,170.486,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.235,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,52.149,0,0,0,0,0,0,0,0,0,0,0,0,39.058,0,0,0,0,0,0,0,0,0,795.239,0,0,0
g__Nemoura,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,72.079,0,0.724,0,0,140.846,0,0,0,0,0,0,0,0,0,0,3.136,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,79.749,0,0,0,0,0,0,112.185,0,0,0,0,0,0,118.489,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,218.863,0,0,0,0,0,0,0,0,0,0,0,0,0,255.756,0,0,0,0,0,0,0,0,0,0,0,1.804,0,0,0,0,102.848,42.984,0,0,0,0,12.662,12.122,0,0,0,14.825,0,0,0,0,0,0,0,0,0,0,0,13.908,0,0,0,0,32.459,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
g__Ophidonais,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21.363,0,0,0,0,0,0,0,0,0,0,0,478.827,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.721,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.669,0,0,0,0,0,232.2,0,0,0,0,0,67.851,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,37.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.057,0,43.235,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13.563,0,0,0,0,26.015,4.093,0,0,0,13,0,0,0,0
g__Orthocladius,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,85.04,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,44.569,0,0,0,0,0,0,0,0,0,0,0,0,0,407.035,0,23.813,0,0,0,0.773,24.572,0,0,0,0,0,27.617,23.953,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.944,0,16.305,0,0,0,0,0,0,0,0,0,0,0,44.749,0,0,0,0,0,0,0,0,886.867,0,0,0,0,0,0,150.153,0,0,0,0,204.303,0,0,0,0,0,0,0,0,0,0,38.235,0,0,16.122,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11.696,0,0,101.239,406.819,0,0
g__Paratrichocladius,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,463.932,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
g__Perla,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,51.461,0,0,0,0,0,37.315,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.572,0,0,0,0,0,0,0,0,0,0,15.845,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25.644,0,0,0,0,0,0,0,0,0,0,0,5.793,0,0,29.863,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,83.213,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,54.908,0,0,0,0,0,0,0,0,0,0,75.408,0,0,24.07,0,0,0,0,0,0,0,0,32.696,0,0,0,0,0,0
g__Perlodes,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,31.305,0,0,0,0,0,0,0,0,0,0,0,62.749,6.249,0,0,0,0,0,0,0,0,0,1.756,0,0,0,0,0,0,0,0,0,0,23.023,0,0,0,0,0,42.848,130.984,0,0,0,0,37.662,217.122,0,0,0,0,0,0,0,0,59.326,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
g__Philopotamus,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.185,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18.408,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
